Epoch,MCRMSE
1,0.8015934824943542
2,0.6803010702133179
3,0.7888736128807068
4,0.539482057094574
5,0.6243996024131775
6,0.6213274598121643
7,0.6729459762573242
8,0.593587338924408
9,0.5645554065704346
10,0.5525774955749512
11,0.5622009634971619
12,0.5715750455856323
13,0.5426394939422607
14,0.5650498270988464
15,0.5320709943771362
16,0.5450617671012878
17,0.5460453033447266
18,0.5324704051017761
19,0.5344472527503967
20,0.5376684665679932
21,0.5414103865623474
22,0.5334298014640808
23,0.53898024559021
24,0.5276159048080444
25,0.5747303366661072
26,0.5280110239982605
27,0.5492613315582275
28,0.5463666319847107
29,0.5309001207351685
30,0.5419247150421143
