Epoch,MSE Loss
1,0.6091158774834645
2,0.3497903337584266
3,0.2609394328503669
4,0.2271657942593852
5,0.1723732825698732
6,0.14065160064757626
7,0.12288753113037423
8,0.11074142299498184
9,0.09957139712722995
10,0.08280877259713185
11,0.06335892575451091
12,0.04766365036934237
13,0.037668549349602266
14,0.02929461704967897
15,0.023577140644192696
16,0.01926654236556231
17,0.016118309613835962
18,0.015159040170757077
19,0.013021370737895936
20,0.011217993082879464
21,0.010880088828551241
22,0.010837684739145297
23,0.010712155199880842
24,0.009912542320929373
25,0.01037496696756799
26,0.00955474156226161
27,0.010180426655407948
28,0.009280388997985592
29,0.008894782136135463
30,0.008941350003728006
