Epoch,MSE Loss
1,0.6278191876562336
2,0.3093659247778639
3,0.24062475599820102
4,0.20515031112900264
5,0.15809738588861272
6,0.1349963140261324
7,0.12118740851366067
8,0.10763124631175512
9,0.09190841302087036
10,0.07675319919480553
11,0.06283955337314666
12,0.0534255203755596
13,0.041100524177279656
14,0.03480971163681036
15,0.030636629726313338
16,0.026637824865270266
17,0.023928857656030714
18,0.02173077137079797
19,0.019910038637492477
20,0.019550155600697935
21,0.019653166125563882
22,0.017994716268362878
23,0.01692321880048589
24,0.01785423501712989
25,0.0170110886610007
26,0.015415393782755997
27,0.01508806583389074
28,0.014470698583069482
29,0.014252702693773222
30,0.014323213043375105
