Epoch,MCRMSE
1,0.6549701690673828
2,0.6502171158790588
3,0.6493217945098877
4,0.6448249816894531
5,0.6434568166732788
6,0.6424949765205383
7,0.6450889110565186
8,0.6442316770553589
9,0.6435816884040833
10,0.6429232954978943
11,0.642077624797821
12,0.6445590853691101
13,0.6415959000587463
14,0.6402480602264404
15,0.6621477007865906
16,0.6413413286209106
17,0.647788941860199
18,0.6394107937812805
19,0.6463990211486816
20,0.6433064341545105
21,0.6487225294113159
22,0.6356546878814697
23,0.6358242630958557
24,0.6436440944671631
25,0.6379331350326538
26,0.6314541101455688
27,0.6572164297103882
28,0.6374486088752747
29,0.6365493535995483
30,0.6343590617179871
31,0.6253336668014526
32,0.6292901039123535
33,0.6308391094207764
34,0.6278082132339478
35,0.6212180256843567
36,0.6197445392608643
37,0.5926550030708313
38,0.5895649790763855
39,0.5948051810264587
40,0.60528165102005
41,0.5821188688278198
42,0.5846170783042908
43,0.588263750076294
44,0.5725110173225403
45,0.5844253897666931
46,0.6008608341217041
47,0.6124639511108398
48,0.600628674030304
49,0.595587968826294
50,0.6007207632064819
51,0.5936670303344727
52,0.6089207530021667
53,0.5973353385925293
54,0.645156741142273
55,0.5980563163757324
56,0.5944180488586426
57,0.5962464809417725
58,0.6021627187728882
59,0.6186492443084717
60,0.6099690198898315
