Epoch,MCRMSE
1,0.9505426287651062
2,0.7777875661849976
3,0.7221378087997437
4,0.9163764715194702
5,0.8236605525016785
6,0.6986740827560425
7,0.6434506773948669
8,0.5974024534225464
9,0.6039291024208069
10,0.5876691341400146
11,0.6001283526420593
12,0.6346178650856018
13,0.7038511037826538
14,0.6457276344299316
15,0.7187319993972778
16,0.7018947005271912
17,0.7361512184143066
18,0.7200543880462646
19,0.7931439280509949
20,0.822479248046875
21,0.8263334631919861
22,0.8008632659912109
23,0.8225536346435547
24,0.7925857305526733
25,0.8759750127792358
26,0.8834911584854126
27,0.8921957015991211
28,0.9156460762023926
29,0.8857959508895874
30,0.8700898885726929
