Epoch,MSE Loss
1,0.8013991302327265
2,0.28876834598523154
3,0.262159721006321
4,0.22251761600941042
5,0.19076926157444338
6,0.15325045925152453
7,0.13887105033367494
8,0.13441656209245512
9,0.12061309324035162
10,0.11551575683340241
11,0.10729527171654037
12,0.0984607424728478
13,0.09540941754851161
14,0.08487947888766663
15,0.07532664091338086
16,0.07151443657429912
17,0.06699740980999379
18,0.060094633670170094
19,0.050437884570299824
20,0.04570534891342815
21,0.0400721869325336
22,0.032102844288832026
23,0.02688687853515148
24,0.02239530818843389
25,0.020200601507779917
26,0.019763553444343277
27,0.01676408553943981
28,0.015050852128976508
29,0.013990229797325556
30,0.013436188791654532
