Epoch,MCRMSE
1,0.6324788331985474
2,0.5818557143211365
3,0.5078044533729553
4,0.5578564405441284
5,0.5762937068939209
6,0.5642310380935669
7,0.5458903312683105
8,0.5487548112869263
9,0.5302432775497437
10,0.5460622310638428
11,0.5487989187240601
12,0.5789529085159302
13,0.5739257335662842
14,0.5673484802246094
15,0.5779401659965515
16,0.5596102476119995
17,0.565459132194519
18,0.5976114273071289
19,0.5952884554862976
20,0.5912187099456787
21,0.6230863928794861
22,0.5954667329788208
23,0.5753321051597595
24,0.5877785682678223
25,0.6008424758911133
26,0.5941434502601624
27,0.5729750990867615
28,0.5830625891685486
29,0.5563340187072754
30,0.5743716955184937
