Epoch,MSE Loss
1,0.8157853946278367
2,0.33954797496524036
3,0.26630536193334603
4,0.22000098417076883
5,0.17783617162251775
6,0.15783459099033212
7,0.1391047173285786
8,0.12518203069892112
9,0.11688200025996075
10,0.10847833196196376
11,0.10122993993985502
12,0.08936513253027879
13,0.08366804338897331
14,0.07711589850391014
15,0.07115710460686986
16,0.06441582173486299
17,0.061679858525719826
18,0.05339969491845445
19,0.04951768179860296
20,0.04117023940139179
21,0.036607521079197715
22,0.030830757692456245
23,0.027785080261056937
24,0.02314371155881429
25,0.01943437964950181
26,0.01968322872313895
27,0.017177670840409737
28,0.015345802400968497
29,0.014119571322410167
30,0.01338440918988442
