Epoch,MSE Loss
1,3.2054758656699702
2,0.49640118007390005
3,0.39062930249942923
4,0.3241732958352791
5,0.29786169022884007
6,0.2848600295354735
7,0.26636030032949626
8,0.26043384676834325
9,0.24801211368362858
10,0.23961558966141827
11,0.22849629257085188
12,0.22345859318409325
13,0.21124063263524254
14,0.2019728787665097
15,0.19490835098725445
16,0.1914604607055772
17,0.18397796716330186
18,0.17270594666588981
19,0.16620174921908468
20,0.16104825515792054
21,0.158397210094164
22,0.15111893696605033
23,0.14730967398522035
24,0.15266745537519455
25,0.14062981237218064
26,0.1349360781177035
27,0.13166040407036836
28,0.13137067545135067
29,0.12855295977502498
30,0.12501175336118014
