Epoch,MCRMSE
1,0.6852313876152039
2,0.603800892829895
3,0.6169284582138062
4,0.5371562242507935
5,0.5568401217460632
6,0.5409683585166931
7,0.5653387308120728
8,0.5784851312637329
9,0.5545697212219238
10,0.5628876686096191
11,0.5541188716888428
12,0.5784738063812256
13,0.542697012424469
14,0.5566167235374451
15,0.56910640001297
16,0.5457223653793335
17,0.6050207614898682
18,0.578474223613739
19,0.6215528249740601
20,0.6643754243850708
21,0.6415637731552124
22,0.6354274153709412
23,0.5447878837585449
24,0.6020687222480774
25,0.6437999606132507
26,0.6088098883628845
27,0.6189960241317749
28,0.6365184187889099
29,0.6672989726066589
30,0.6214736104011536
