Epoch,MSE Loss
1,0.6434059510879879
2,0.2668376342405247
3,0.23575745145731333
4,0.19278602415247809
5,0.17028297465058823
6,0.15442016352958318
7,0.13546999308127392
8,0.12400003117096575
9,0.11929953862217409
10,0.11193575898680506
11,0.1055433510602275
12,0.09749652520765233
13,0.09084273299461679
14,0.08360979159044314
15,0.07628122316319731
16,0.07067833416446855
17,0.06268722559266453
18,0.058067174274710164
19,0.04907284644019755
20,0.04405350388982628
21,0.039711901305031175
22,0.035204439058522635
23,0.03253866182758084
24,0.030447823832495304
25,0.027895048260688782
26,0.025491597767494902
27,0.02264604604319681
28,0.020141167542602444
29,0.019405922581312022
30,0.01823291406506979
