Epoch,MSE Loss
1,4.116539174620109
2,0.42594242020498346
3,0.42233735851094695
4,0.41750997795334344
5,0.41647819816311704
6,0.4074647984927214
7,0.4028665536566626
8,0.39378429326830033
9,0.38867494426196136
10,0.3787383210809925
11,0.35620620658126056
12,0.32368347275106213
13,0.28922573109216326
14,0.27690015073064006
15,0.25377549080154566
16,0.2431580043291744
17,0.2367737187614924
18,0.22499056688592403
19,0.2188488388363319
20,0.20858899532239647
21,0.1988055787131756
22,0.19572136353088332
23,0.18621498648124404
24,0.18595070514497877
25,0.1746445601876778
26,0.16614125669002533
27,0.16111450170791602
28,0.15927746401557438
29,0.15258500413804116
30,0.15076577569110483
31,0.14401853980520105
32,0.14282938734262804
33,0.13838210579337953
34,0.13844473537387728
35,0.13240159321812134
36,0.13147965969541406
37,0.1319987560752072
38,0.12738128034751625
39,0.1264252528736863
40,0.12418155966303017
41,0.12352343243134173
42,0.12454620333789271
43,0.12305276039280469
44,0.11916097894876818
45,0.11774401338417319
46,0.11712103374773943
47,0.11705891920041435
48,0.11803903525011449
49,0.11966331152221825
50,0.11527078853377813
51,0.11372585075942776
52,0.11293953355354598
53,0.11225339015827904
54,0.11107714634530153
55,0.11149041882798641
56,0.11037358320966552
57,0.10898184031248093
58,0.10854797187862517
59,0.10900372313924983
60,0.10860073868232438
