Epoch,MSE Loss
1,1.4221812452696547
2,0.3408284289172933
3,0.28046267658849305
4,0.25362525540816633
5,0.2523080289741106
6,0.22702391577672354
7,0.21195029514499858
8,0.20182614103902743
9,0.1951907743004304
10,0.18199780092963688
11,0.17290188126926181
12,0.16102219288107716
13,0.15374980131282082
14,0.14231805078968218
15,0.13758654637804515
16,0.1322515218318263
17,0.12548433253659477
18,0.11771234983130346
19,0.11635195360153536
20,0.11219734377876113
21,0.1121036619702472
22,0.10524160150862948
23,0.10227164597828177
24,0.10083815276245528
25,0.0963212793952302
26,0.09392689281626593
27,0.09384023294418672
28,0.09310123154634162
29,0.08668698955185805
30,0.08428881081599224
