Epoch,MCRMSE
1,0.6206597089767456
2,0.5591748356819153
3,0.625839114189148
4,0.49530595541000366
5,0.49022477865219116
6,0.5914310216903687
7,0.5238680243492126
8,0.5710572600364685
9,0.6797472834587097
10,0.5533254146575928
11,0.5331861972808838
12,0.555566132068634
13,0.5551692247390747
14,0.5562131404876709
15,0.5860657095909119
16,0.5476551055908203
17,0.5681504607200623
18,0.5680059790611267
19,0.5616625547409058
20,0.666739821434021
21,0.5509078502655029
22,0.6162010431289673
23,0.5610949993133545
24,0.5947998762130737
25,0.5451329350471497
26,0.5853313207626343
27,0.6373554468154907
28,0.6067894697189331
29,0.547572135925293
30,0.5590754747390747
