Epoch,MCRMSE
1,0.616664469242096
2,0.679480254650116
3,0.5547265410423279
4,0.5527395009994507
5,0.5674420595169067
6,0.6329032778739929
7,0.5501663684844971
8,0.6112748384475708
9,0.47189784049987793
10,0.5339359045028687
11,0.5617989897727966
12,0.6641737222671509
13,0.5494887828826904
14,0.5763868093490601
15,0.5623154044151306
16,0.5117819309234619
17,0.5491012930870056
18,0.6210512518882751
19,0.5789863467216492
20,0.604062020778656
21,0.6532604694366455
22,0.5764564275741577
23,0.6057244539260864
24,0.5573050379753113
25,0.5416275858879089
26,0.5493472218513489
27,0.5730472803115845
28,0.5844485759735107
29,0.604918897151947
30,0.5633933544158936
