Epoch,MSE Loss
1,1.5912625095512294
2,0.29479218434683885
3,0.2594953533969348
4,0.24228976176509373
5,0.23239131158665766
6,0.21943891463400442
7,0.21407718767848197
8,0.2098411519693423
9,0.20009774705277214
10,0.20196021150184584
11,0.18840751881840861
12,0.18208059404469742
13,0.17711810673339456
14,0.16420689319507986
15,0.15588135281695595
16,0.15320183525357065
17,0.14722935563024087
18,0.14091047484286223
19,0.1353815439381177
20,0.1278162329823156
21,0.12311646606348738
22,0.12318097837740861
23,0.11546507534347003
24,0.11187454784595513
25,0.11179534779696525
26,0.1049386473207534
27,0.10052996421162086
28,0.10015517859896526
29,0.0977255271016797
30,0.09693693181004705
