Epoch,MSE Loss
1,9.89286280281936
2,9.46425460863717
3,4.383979279406463
4,0.44773226561425605
5,0.4412548598609393
6,0.4376005085208748
7,0.4356856851638118
8,0.4360279206988178
9,0.43274591768844217
10,0.4311661482611789
11,0.42956375283530995
12,0.43440131032014195
13,0.43084110376201096
14,0.42641588253310964
15,0.4274135748796825
16,0.4248264443270768
17,0.42308201216444186
18,0.4218001343026946
19,0.4178339288204531
20,0.4228985286966155
21,0.4150717496117459
22,0.4144067288954047
23,0.41278065986271145
24,0.4174805215642422
25,0.4127438155156148
26,0.4125588570214525
27,0.4115250721762452
28,0.4102121742465828
29,0.40971184531344645
30,0.4106900190250783
