Epoch,MCRMSE
1,3.139552593231201
2,2.9960265159606934
3,0.7012555003166199
4,0.6617023944854736
5,0.6599461436271667
6,0.658610463142395
7,0.6573523283004761
8,0.6560655832290649
9,0.6550697088241577
10,0.6540530323982239
11,0.6533624529838562
12,0.6527195572853088
13,0.6515416502952576
14,0.6509370803833008
15,0.6502160429954529
16,0.6497770547866821
17,0.649140477180481
18,0.6484761834144592
19,0.6477946639060974
20,0.6471524238586426
21,0.646528959274292
22,0.6449857354164124
23,0.6444016098976135
24,0.6433319449424744
25,0.6428349614143372
26,0.6419095993041992
27,0.6428185701370239
28,0.6422961950302124
29,0.6411728858947754
30,0.6404081583023071
